Title,Jahr,Author,Untertitel,Dokumententyp,"Übergeordneter Titel",Zeitschrift,Reihentitel,Herausgeber,Ort,Verlag,Auflage,ISBN,DOI,Band,Nummer,Seiten,"Internetdokument URL",Institution/Veranstalter,"Vortragsreihe / Veranstaltung",Datum,Vortragende/r,Vortragstyp,Panel
"Deepfakes im Straf- und Strafverfahrensrecht",2025,"Rückert, Christian; Hartmann, Markus; Margerie, Miriam Anna; Meinen, Lorenz; Wiedemann, Stefanie",,Zeitschriftenaufsatz,,"NSW- Neue Strafrechtswissenschaft",,"Ibold, Victoria; Peters, Kristins; Schrott, Nina; Steenbreker, Thomas",,,,,10.61039/29427509-2025-25,2025,IV,315-332,,,,,,"Wissenschaftlicher Vortrag",
"Deepfakes in Criminal Investigations: Interdisciplinary Research Directions for CMC Research",2025,"Meinen, Lorenz; Schomäcker, Astrid; Wiedemann, Stefanie; Hartmann, Markus; Speith, Timo; Kästner, Lena; Kühl, Niklas; Rückert, Christian",,Konferenzpapier,,,,,,,,,https://doi.org/10.15495/EPub_UBT_00008705,,,,,,,,,"Wissenschaftlicher Vortrag",
"Climate Communication in the Hybrid Media System",2025,"Lübke, Simon; Ozornina, Nadezhda; Haim, Mario; Haßler, Jörg","Media and Stakeholder Logics on Social Media",Zeitschriftenaufsatz,,"Media and Communication",,,,"Cogitatio Press",,,,13,,,https://doi.org/10.17645/mac.9892,,,,,"Wissenschaftlicher Vortrag",
"What Media Frames Reveal About Stance","Findings of the Association for Computational Linguistics: EMNLP 2025","Zhou, Shijia; Peng, Siyao; Lübke, Simon; Haßler, Jörg; Haim, M; Mohammad, Saif; Plank, Barbara","A Dataset and Study about Memes in Climate Change Discourse",Konferenzpapier,,,,"Association for Computational Linguistics",,,,,,,,5337–5356,https://doi.org/10.18653/v1/2025.findings-emnlp.286,,,,,"Wissenschaftlicher Vortrag",
"User-Centric AI-based Interaction Design for Funding Recommendation Tools",2025,"Safin, Damir; Balta, Dian ",,Konferenzpapier,,"Ongoing Research, Practitioners, Posters, Workshops, and Projects of the International Conference EGOV-CeDEM-ePart 2025",,,"University for Continuing Education, Krems, Austria",,,,,,,,https://ceur-ws.org/,,,,,"Wissenschaftlicher Vortrag",
"Insights from Designing Agentic AI for an Improved Natural Language Processing in Civic Innovation Processes",2025,"Safin, Damir; Balta, Dian ",,Konferenzpapier,,"Ongoing Research, Practitioners, Posters, Workshops, and Projects of the International Conference EGOV-CeDEM-ePart 2025",,,"University for Continuing Education, Krems, Austria",,,,,,,,https://ceur-ws.org/,,,,,"Wissenschaftlicher Vortrag",
"Brücken bauen zwischen Stadt und Land",2025,"Redepenning, Marc; Scholl, Sebastian; Fritsch, Christian; Keech, Daniel","Neue Wege zu einer ortssensiblen Nachhaltigkeit","Unklarer Dokumententyp",,"uni.vers Forschung","Wege zu einer zukunftsfähigen Gesellschaft – Bamberger Beiträge zur Nachhaltigkeitsforschung","Universität Bamberg",Bamberg,,,,,,05/2025,10-12,https://blog.uni-bamberg.de/forschung/2025/bruecken-bauen-stadt-land/,,,,,"Wissenschaftlicher Vortrag",
"Creating Connection Through the Screen: Reflections on Symmetry, Vulnerability, and the Methodological Affordances of Technology-Mediated Research on Online Misogyny",2025,"Nann, Leah ",,Zeitschriftenaufsatz,,"Social Sciences",,,,,,,,14,12,683,https://doi.org/10.3390/socsci14120683,,,,,"Wissenschaftlicher Vortrag",
"Potential of Knowledge-Based Digitalization Approaches in Multiprofessional Palliative Care Teamwork",2025,"Peuten, Sarah; Schneider, Werner; Heckel, Maria; Steigleder, Tobias; Kurkowski, Sandra; Klein, Carsten;  Meindl, Oliver;  Gimpel, Henner; Ostgathe, Christoph ",,Zeitschriftenaufsatz,,"Zeitschrift für Palliativmedizin",,,,Thieme,,,10.1055/a-2717-5623,,,,,,,,,"Wissenschaftlicher Vortrag",
"Wissensdivergenzen in multiprofessionellen Teams – Herausforderungen, Praxiseffekte und Bearbeitungsroutinen am Beispiel multiprofessioneller Zusammenarbeit auf der Palliativstation.",2025,"Peuten, Sarah",,"Beitrag in ...",,,"Zusammenarbeit im Gesundheitsbereich. Aktuelle qualitative empirische Zugänge und Perspektiven","Krauss, Sabine; Peuten, Sarah",Baden-Baden,Nomos,,978-3-7560-0939-8,,,,221-250,,,,,,"Wissenschaftlicher Vortrag",
"Digitaler Humanismus. Eine am humanistischen Menschenbild orientierte Ethik für das digitale Zeitalter",2025,"Staudacher, Klaus ",,Zeitschriftenaufsatz,,"Ideen- und Innovationsmanagement",03.25,"Dr. Christoph Gutknecht Dr. Klaus Heitmeyer","Berlin 2025","Erich Schmidt Verlag",,,https://doi.org/10.37307/j.2198-3151.2025.03,03.25,,"84 - 89",,,,,,"Wissenschaftlicher Vortrag",
